city,name,price,quality_price,rating,stars,url,id
Riviera Maya,HOTEL CENTRAL STATION - Prices &  Reviews,764.0,3.0,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d13453433-Reviews-Hotel_Central_Station-Tulum_Yucatan_Peninsula.html,99
Riviera Maya,SONIDO DEL MAR ,,4.3,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d12695397-Reviews-Sonido_Del_Mar-Tulum_Yucatan_Peninsula.html,100
Riviera Maya,COCO VILLAGE ,1887.0,4.4,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d9998192-Reviews-Coco_Village-Tulum_Yucatan_Peninsula.html,101
Riviera Maya,CINCO TULUM - Updated 2022 Prices &  Campground Reviews,,3.0,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d21400665-Reviews-Cinco_Tulum-Tulum_Yucatan_Peninsula.html,102
Riviera Maya,CORAZON DE JADE ,1031.0,4.0,4.0,2.0,https://www.tripadvisor.com/Hotel_Review-g150813-d7316133-Reviews-Corazon_de_Jade-Tulum_Yucatan_Peninsula.html,103
Riviera Maya,HOTEL ZENDERO ,,4.2,4.0,4.0,https://www.tripadvisor.com/Hotel_Review-g150813-d15233498-Reviews-Hotel_Zendero-Tulum_Yucatan_Peninsula.html,104
Riviera Maya,CASA ALMENDRO ,,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d13499406-Reviews-Casa_Almendro-Tulum_Yucatan_Peninsula.html,105
Riviera Maya,HUAYA CAMP ,,4.0,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d16582197-Reviews-Huaya_Camp-Tulum_Yucatan_Peninsula.html,106
Riviera Maya,LUNA LLENA BOUTIQUE HOTEL ,,4.3,4.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d1967090-Reviews-Luna_Llena_Boutique_Hotel-Tulum_Yucatan_Peninsula.html,107
Riviera Maya,PEPEM ECO - LUXURY HOTEL TULUM ADULTS ONLY ,2026.0,5.0,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d23330532-Reviews-Pepem_Eco_Luxury_Hotel_Tulum_Adults_Only-Tulum_Yucatan_Peninsula.html,108
Riviera Maya,CASA MANGO ,,4.9,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d6733241-Reviews-Casa_Mango-Tulum_Yucatan_Peninsula.html,109
Riviera Maya,TUBOTULUM HOSTEL ,288.0,3.6,4.0,2.0,https://www.tripadvisor.com/Hotel_Review-g150813-d6454395-Reviews-TuboTulum_Hostel-Tulum_Yucatan_Peninsula.html,110
Riviera Maya,MAKA HOTEL BOUTIQUE ,,5.0,4.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d19003563-Reviews-Maka_Hotel_Boutique-Tulum_Yucatan_Peninsula.html,111
Riviera Maya,IRIE TULUM BOUTIQUE HOTEL ,1812.0,4.3,4.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d23820522-Reviews-Irie_Tulum_Boutique_Hotel-Tulum_Yucatan_Peninsula.html,112
Riviera Maya,POSADA MALIX PEK ,,4.3,4.0,2.0,https://www.tripadvisor.com/Hotel_Review-g150813-d2514989-Reviews-Posada_Malix_Pek-Tulum_Yucatan_Peninsula.html,113
Riviera Maya,RUTA MAYA - Prices &  Hotel Reviews,597.0,3.0,4.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d13337130-Reviews-Ruta_Maya-Tulum_Yucatan_Peninsula.html,114
Riviera Maya,SUNSET TULUM - Prices &  Specialty B&B Reviews,2135.0,,5.0,2.0,https://www.tripadvisor.com/Hotel_Review-g150813-d14860954-Reviews-Sunset_Tulum-Tulum_Yucatan_Peninsula.html,115
Riviera Maya,TULUNA TULUM HOTEL ,,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d23588971-Reviews-Tuluna_Tulum_Hotel-Tulum_Yucatan_Peninsula.html,116
Riviera Maya,XKEKEN HOSTEL ,,4.0,4.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d15364680-Reviews-XKeken_Hostel-Tulum_Yucatan_Peninsula.html,117
Riviera Maya,CASA TZALAM TULUM SELVA - Prices &  Guest house Reviews,1234.0,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d11963952-Reviews-Casa_Tzalam_Tulum_Selva-Tulum_Yucatan_Peninsula.html,118
Riviera Maya,ALEA TULUM BY BLUE SKY - Updated 2022 Prices &  Hotel Reviews,3780.0,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d23675034-Reviews-Alea_Tulum_by_Blue_Sky-Tulum_Yucatan_Peninsula.html,119
Riviera Maya,ALDEA BALAM - Prices &  B&B Reviews,1065.0,4.5,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d13800621-Reviews-Aldea_Balam-Tulum_Yucatan_Peninsula.html,120
Riviera Maya,HOTEL MUYU TULUM ,,5.0,4.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d17647312-Reviews-Hotel_Muyu_Tulum-Tulum_Yucatan_Peninsula.html,121
